Institution Name,Product Name,Report Date,Availability of Credit Card Plan,State,State (Multiple),Pertains to Specific Counties?,Requirements for Opening,Requirements for Opening Types,Geographic Restrictions,Professional Affiliation,Requirements: Other,Secured Card,Targeted Credit Tiers,Purchase APR Offered?,Purchase APR Vary by Balance,Balance Range (From),Balance Range (To),APR - 2nd Tier,Balance Range (From) - 2nd Tier,Balance Range (To) - 2nd Tier,APR - 3rd Tier,Balance Range (From) - 3rd Tier,Balance Range (To) - 3rd Tier,APR - 4th Tier,Balance Range (From) - 4th Tier,Balance Range (To) - 4th Tier,Purchase APR Index,Variable Rate Index,Index,Purchase APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Introductory APR Offered?,Introductory APR Vary By Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Introductory APR,Balance Transfer Offered?,Balance Transfer APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Median Length of Balance Transfer APR,Balance Transfer Grace Period,Cash Advance APR Offered?,Cash Advance APR Vary by Credit Tier,Poor or Fair Credit,Good Credit,Great Credit,Minimum APR,Median APR,Maximum APR,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Balance Computation Method,Balance Computation Method Details,Periodic Fee Type,Annual Fee,Monthly Fee,Weekly Fee,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?,Minimum,Maximum,Fee Explanation,Late Fees?,Late Fee Types,Amount (Dollars) - Late Payment Fee,Late Fee Six Month Billing Cycle,Late Fee Policy Details,Fee Varies?,Minimum,Maximum,Fee Explanation,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?,Minimum,Maximum,Fee Explanation,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name,Other Fee Amount,Other Fee Explanation,Fee Varies?,Minimum,Maximum,Fee Explanation,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
FIRST NATIONAL BANK OF OMAHA,First Bank Secured Mastercard,Data as of December 31,Regional,,CA; IL; MO,No,Yes,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,22.99%,26.12%,27.99%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.99%,27.12%,28.24%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$35.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,MC Global Services,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.first.bank/Personal/Spend/Credit-Cards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,Amalgamated Bank Secured Mastercard,Data as of December 31,Regional,,NY; WA,No,Yes,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,22.99%,26.49%,27.99%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,26.74%,27.49%,28.24%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$35.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,MC Global Services,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://amalgamatedbank.com/credit-cards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,Shop.com™ Secured Mastercard ®,Data as of December 31,National,,,,Yes,Other. Please Describe:,,,Must be a Shop.com member in order to open an account/apply for the card.,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,20.74%,21.49%,22.24%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.99%,26.74%,27.49%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$29.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,MC Global Services,Other rewards,Shop.com Rewards Program,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.shop.com/nbts/login-myaccount.xhtml?returnurl=%2Ffnbo-offer-secured.xhtml,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,Speedy Rewards ® Secured Mastercard®,Data as of December 31,National,,,,Yes,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,21.74%,21.74%,21.74%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.99%,25.99%,25.99%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$30.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,MC Global Services,Other rewards,Speedy Rewards Program,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.card.fnbo.com/landing/speedway/mastercard-landing,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,Saratoga National Bank and Trust Company Secured Visa ® Card,Data as of December 31,One State/Territory,NY,,No,Yes,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,999.00%,999.00%,999.00%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,999.00%,999.00%,999.00%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$35.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.saratoganational.com/Personal/Credit-Cards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,NYCB Secured Visa® Card - AmTrust Bank,Data as of December 31,Regional,,AZ; FL; MI; NJ; NY; OH,No,No,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,24.99%,25.74%,26.49%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.99%,26.74%,27.49%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.mynycb.com/Personal/CreditCards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,NYCB Secured Visa® Card -  Garden State Community,Data as of December 31,Regional,,AZ; FL; MI; NJ; NY; OH,No,No,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,999.00%,999.00%,999.00%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,999.00%,999.00%,999.00%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.mynycb.com/Personal/CreditCards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,NYCB Secured Visa® Card - Ohio Savings Bank,Data as of December 31,Regional,,AZ; FL; MI; NJ; NY; OH,No,No,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,26.49%,26.49%,26.49%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,27.49%,27.49%,27.49%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.mynycb.com/Personal/CreditCards,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,Wintrust Bank NSCBT Secured Mastercard,Data as of December 31,Regional,,IL; WI,No,Yes,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,999.00%,999.00%,999.00%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,999.00%,999.00%,999.00%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,Annual,$35.00 ,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,MC Global Services,,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.nscbank.com/personal/banking-and-borrowing/credit-cards.html,,4/20/2023
FIRST NATIONAL BANK OF OMAHA,FNBO Secured Visa® Card,Data as of December 31,Regional,,CO; IL; IA; KS; NE; SD; TX; WY,No,No,,,,,Yes,Poor or fair credit (credit score 619 or less); Good credit (credit scores from 620 to 719); Great Credit (credit score of 720 or greater),Yes,No,,,,,,,,,,,,Yes,Prime,V,,,,,20.99%,22.12%,23.24%,No,,,,,,,,,No,,,,,,,,,,Yes,No,,,,25.99%,27.12%,28.24%,Yes,21,Yes,$1.75 ,Average daily balance including new purchases,,,,,,,,,,,,,No,,,,,,,,,,Yes,"1. If fee is charged in dollars, what is the amount?; 2. If fee is percentage of transaction amount, what is it?",$10.00 ,5.00%,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?; 2. If the fee is a percentage of transaction amount, what is it?",$15.00 ,5.00%,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,Yes,"1. What is the amount of the first late fee on the account?; 2. What is the amount of late fees charged within six billing cycles of a previous late fee (repeat late fee)?; 3. If you charge late fees that are not fixed dollar amounts, please explain your late fee policy here.",$29.00 ,$40.00 ,Late Fee cannot exceed the minimum payment due.,,,,,No,,,,,,,,Yes,Yes,Returned Payment (Payment Dishonored Fee),$35.00 ,When a payment is returned/payment didn't clear,Cash Equivalent Fee,$15.00 ,"Amount Charged is $15 or 5% of the amount of each cash equivalent transaction, whichever is greater.

When the card is used to purchase travelers checks, money orders, or conduct wire transfers, or for similar products or services.",,,,,,,,,,,,,,Access to Free Credit Scores; Credit card registration; Discounts on purchases of goods and services (non travel related); Other,"Roadside Dispatch, Visa Global Services",,,Contactless Payments; Chip card; Mobile wallet provisioning,,Website,https://www.fnbo.com/personal-banking/credit-cards/,,4/20/2023
