,Provider,Product Name,State,Secured Card,Targeted Credit Tiers,APRVariableFixed,APR Credit 1,APR Credit 2,APR Credit 3,Introductory APR Offered?,Intro APR Credit 1,Intro APR Credit 2,Intro APR Credit 3,Intro APR Length,Balance Transfer APR Credit 1,Balance Transfer APR Credit 2,Balance Transfer APR Credit 3,Balance Transfer APR Length,Balance Transfer Grace Period,Grace Period Offered?,Grace Period,Minimum Finance Charge?,Minimum Finance Charge (Dollars),Annualized Periodic Fees,Other Periodic Fee Name,Other Periodic Fee Amount,Other Periodic Fee Frequency,Fee Varies?,Minimum,Maximum,Fee Explanation,Purchase Transaction Fees,Purchase Transaction Fee Type,Purchase Transaction Fee ($),Purchase Transaction Fee (%),Minimum Purchase Transaction Fee Amount,Purchase Transaction Fee Calculation,Fee Varies?.1,Minimum.1,Maximum.1,Fee Explanation.1,Balance Transfer Fees?,Balance Transfer Fee Types,Balance Transfer Fee ($),Balance Transfer Fee (%),Minimum Balance Transfer Fee Amount,Balance Transfer Fee Calculation,Fee Varies?.2,Minimum.2,Maximum.2,Fee Explanation.2,Cash Advance Fees?,Cash Advance Fee For Each Transaction,Cash Advance Fee Types,Amount (Dollars) - Transaction Fee,Amount (Percent) - Transaction Fee,Minimum Cash Advance Fee Amount,Cash Advance Fee Calculation,Fee Varies?.3,Minimum.3,Maximum.3,Fee Explanation.3,Foreign Transaction Fees?,Foreign Transaction Fees Types,Foreign Transaction Fee ($),Foreign Transaction Fee (%),Minimum Foreign Transaction Fee Amount,Foreign Transaction Fee Calculation,Fee Varies?.4,Minimum.4,Maximum.4,Fee Explanation.4,Late Fee,Very Late Fee,Over Limit Fees?,Over Limit Fee Types,Amount (Dollars) - Over Credit Limit,Overlimit Fee Detail,Fee Varies?.6,Minimum.6,Maximum.6,Fee Explanation.6,Other Fees,Additional Fees,Other Fee Name,Other Fee Amount,Other Fee Explanation,Other Fee Name.1,Other Fee Amount.1,Other Fee Explanation.1,Other Fee Name.2,Other Fee Amount.2,Other Fee Explanation.2,Other Fee Name.3,Other Fee Amount.3,Other Fee Explanation.3,Other Fee Name.4,Other Fee Amount.4,Other Fee Explanation.4,Fee Varies?.7,Minimum.7,Maximum.7,Fee Explanation.7,Services,Other Services,Rewards,Other Rewards,Card Features,Other Card Features,Contact Information Types,Website for Consumer,Telephone Number for Consumers,Created Date
127,SYNCHRONY FINANCIAL,CareCredit Mastercard,,No,"""23""",F,999.0,26.99,26.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Various Network Benefits,Cashback rewards; Other rewards,Points,Chip card; Mobile wallet provisioning,,Phone; Website,https://www.carecredit.com/mastercard/,1-855-945-3593,4/16/2023
128,SYNCHRONY FINANCIAL,Cathay Pacific Visa Card,,No,"""23""",V,999.0,25.99,25.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,95.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Other,Various Network Benefits,Travel-related rewards,,Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.cathaypacific.com/cx/en_US/offers/collection/Cathay-Pacific-Visa-Card.html,1-866-273-9028,4/18/2023
129,SYNCHRONY FINANCIAL,Cathay Pacific Visa Signature Card,,No,"""3""",V,999.0,999.0,19.99,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,95.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Other,Various Network Benefits,Travel-related rewards,,Chip card; Fee-free foreign transactions; Mobile wallet provisioning,,Phone; Website,https://www.cathaypacific.com/cx/en_US/offers/collection/Cathay-Pacific-Visa-Card.html,1-866-273-9028,4/18/2023
130,SYNCHRONY FINANCIAL,Crate and Barrel and/or CB2 Mastercard,,No,"""23""",V,999.0,29.24,27.74,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Various Network Benefits,Cashback rewards,,Contactless Payments; Chip card,,Website,https://www.cb2.com/rewards/  https://crateandbarrel.com/rewards,,4/16/2023
132,SYNCHRONY FINANCIAL,Fleet Rewards Visa Card,,No,"""23""",V,999.0,29.99,29.49,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Various Network Benefits,Other rewards,Points,Chip card; Fee-free foreign transactions,,Website,https://www.fleetfarm.com/c/credit-card,,4/18/2023
133,SYNCHRONY FINANCIAL,JCPenney Mastercard,,No,"""23""",V,999.0,28.24,26.74,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,4.00%,$10.00 ,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,30.0,41.0,No,,,,,,,,Yes,No,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Discounts on purchases of goods and services (non travel related); Other,Various Network Benefits,Other rewards,Points,Contactless Payments; Chip card; Mobile wallet provisioning,,Phone; Website,https://www.jcpenney.com/m/plcc-benefits,1-800-542-0800,4/16/2023
135,SYNCHRONY FINANCIAL,OneTravel or CheapoAir Visa Card / Fareportal,,No,"""123""",V,29.24,28.24,28.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Various Network Benefits,Travel-related rewards,,Chip card; Mobile wallet provisioning,,Phone; Website,https://www.cheapoair.com/rewards/credit-card  https://www.onetravel.com/rewards/credit-card,1-877-246-7039,4/16/2023
136,SYNCHRONY FINANCIAL,OneTravel or CheapoAir Visa Signature Card / Fareportal,,No,"""23""",V,999.0,28.24,21.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,23.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"2. If the fee is a percentage of transaction amount, what is it?; 3. If there's a minimum dollar amount, what is it?",,5.00%,$10.00 ,,,,,,No,,,,,,,,,,30.0,41.0,No,,,,,,,,Yes,Yes,Returned Payment Fee,$30.00 ,$30.00 for each returned payment,Debt Cancellation,$1.66 ,$1.66 per $100 balance per month,,,,,,,,,,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Various Network Benefits,Travel-related rewards,,Chip card; Mobile wallet provisioning,,Phone; Website,https://www.cheapoair.com/rewards/credit-card  https://www.onetravel.com/rewards/credit-card,1-877-246-7039,4/18/2023
137,TOWER FEDERAL CREDIT UNION,Gold MasterCard,,No,"""123""",F,15.4,13.9,11.4,No,999.0,999.0,999.0,,15.4,13.9,11.4,999.0,Yes,Yes,25.0,No,,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"1. If the fee is charged in dollars, what is the amount?",$0.75 ,,,,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,1.10%,,,,,,,20.0,0.0,No,,,,,,,,Yes,Yes,Statement Copy Fee,$2.00 ,When requested.,Sales Draft Copy Fee,$3.00 ,When requested.,Card Replacement Fee,$5.00 ,When requested due to card loss.,,,,,,,,,,,,,Cashback rewards; Travel-related rewards,,Chip card; Other,ID Theft Protection,Phone; Website,https://www.towerfcu.org,800-787-8328,4/16/2023
138,DSRM NATIONAL BANK,DSRM National Bank Credit Card Agreement,,No,"""123""",V,29.24,27.82,29.24,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,30.0,Yes,$2.00 ,0.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,,No,,,,,,,,,,27.0,38.0,No,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,Mobile wallet provisioning,,Phone; Website,https://ccc.valero.com/Applications/terms.aspx,800-333-3560,4/17/2023
140,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9106,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$55.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
141,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9121,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$55.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
142,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9128,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$55.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
143,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9080,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,175.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Copy Fee,$3.00 ,When a customer requests a copy of their statement.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
144,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9102,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,150.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$95.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
145,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9117,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,150.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$95.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
146,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9124,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,150.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$95.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
147,FIRST PREMIER BANK,First PREMIER Bank Mastercard Secured_9223,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,Yes,"""1""",F,19.9,19.9,19.9,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,50.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Copy Fee,$3.00 ,When a customer requests a copy of their statement.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,Express Delivery Fee,$35.00 ,This fee is charged when a cardholder requests the optional service of a replacement card to be rushed to them.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
148,FIRST PREMIER BANK,First PREMIER Bank Mastercard Classic_9159,AA; AE; AP; AL; AK; AS; AZ; AR; CA; CO; CT; DE; DC; FL; GA; GU; HI; ID; IL; IN; IA; KS; KY; LA; ME; MD; MH; MA; MI; FM; MN; MS; MO; MT; NE; NV; NH; NJ; NM; NC; ND; MP; OH; OK; OR; PW; PA; PR; RI; SC; SD; TN; TX; UT; VT; VA; VI; WA; WV; WY,No,"""1""",F,36.0,36.0,36.0,No,999.0,999.0,999.0,,999.0,999.0,999.0,,,Yes,27.0,Yes,$1.00 ,125.0,,,,,,,,No,,,,,,,,,,No,,,,,,,,,,Yes,Yes,"4. If the fee is not a percentage, or a percentage subject to a minimum dollar amount, how do you calculate the fee?",,,,$8.00 or 5% whichever is greater,,,,,Yes,"2. If fee is percentage of transaction amount, what is it?",,3.00%,,,,,,,28.0,39.0,No,,,,,,,,Yes,Yes,Additional Card Fee,$29.00 ,When a cardholder requests to add an authorized user to the account this fee is billed.,Program Fee,$95.00 ,When a customer is approved for a credit card this fee must be paid before the account is opened.,Credit Limit Increase Fee,$25.00 ,This fee is charged when a customer is approved for a credit line increase that they have requested. The amount of the fee is 25% of the credit limit increase amount.,PREMIER Credit Protection (Optional Payment Protection Product),$0.89 ,When a customer elects to enroll in PREMIER Credit Protection they are billed $.89 per $100 of their ending monthly balance.,Return Item Charge,$39.00 ,This fee is billed when a customer's payment is returned for non-sufficient funds.,,,,,Access to Free Credit Scores; Debt cancellation coverage; Other,Mastercard offers ID Theft Protection.,,,Contactless Payments; Chip card,,Phone,,1-800-987-5521,4/17/2023
